Reporter Name;Partner Name;Trade Flow;Product Group;Indicator;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015
United States;Afghanistan;Export;  All Products;Export (US$ Thousand);417630,568;488783,023;481647,628;1511460,17;2151400,794;2921861,778;1521555,394;1409638,976;792389,357;499749,292
United States;Albania;Export;  All Products;Export (US$ Thousand);27631,235;33965,115;40031,06;47529,397;46432,35;47562,162;54082,29;74364,825;51280,186;30824,44
United States;Algeria;Export;  All Products;Export (US$ Thousand);1101823,722;1652508,92;1243239,469;1108769,026;1194325,446;1596975,135;1363163,393;1848703,921;2616993,205;1876462,218
United States;Andorra;Export;  All Products;Export (US$ Thousand);8945,053;14300,155;15930,662;9426,362;7682,08;5161,272;2238,367;5796,907;3789,433;3410,32
United States;Angola;Export;  All Products;Export (US$ Thousand);1550235,993;1280156,687;2116986,519;1422873,066;1293490,947;1503222,549;1490579,464;1443438,524;2039125,048;1163507,726
United States;Anguila;Export;  All Products;Export (US$ Thousand);42924,408;92637,203;81089,902;52934,466;35575,958;31193,536;27409,044;31037,512;63172,506;47573,193
United States;Antigua and Barbuda;Export;  All Products;Export (US$ Thousand);194196,259;240396,16;182558,364;156976,725;158339,672;154766,326;204627,966;145155,335;216605,245;670371,842
United States;Argentina;Export;  All Products;Export (US$ Thousand);4772823,71;5854448,952;7537863,239;5559716,661;7386783,702;9892036,523;10258026,6;10348309,78;10825715,04;9335731,972
United States;Armenia;Export;  All Products;Export (US$ Thousand);80382,805;110572,654;151465,077;77096,812;113450,618;94316,257;64299,297;91221,471;60471,04;50241,149
United States;Aruba;Export;  All Products;Export (US$ Thousand);511188,803;518346,962;680076,976;446132,43;540432,447;713209,634;710159,319;1099961,26;1357737,497;1154616,788
United States;Australia;Export;  All Products;Export (US$ Thousand);17781610,04;19205100,72;22428309,67;19596998,32;21804444,75;27622669,21;31145106,75;26110413,85;26493675,71;25022986,83
United States;Austria;Export;  All Products;Export (US$ Thousand);2984901,914;3161011,721;2635964,751;2466033,332;2335946,871;2779877,629;3365118,171;3477686,58;3793501,543;3991352,581
United States;Azerbaijan;Export;  All Products;Export (US$ Thousand);231079,47;177622,564;239100,656;221989,369;252516,882;337884,996;492623,482;380994,293;950264,996;469841,731
United States;Bahamas, The;Export;  All Products;Export (US$ Thousand);2287905,1;2473021,532;2760446,641;2455313,273;3177976,837;3441973,224;3479066,681;3450322,692;3324418,095;2388831,995
United States;Bahrain;Export;  All Products;Export (US$ Thousand);490746,547;591357,468;829521,421;668597,239;1235144,57;1214407,158;1176914,298;1017911,665;1059757,847;1274052,619
United States;Bangladesh;Export;  All Products;Export (US$ Thousand);332555,16;456420,787;468066,422;434896,461;575698,015;1144148,134;508180,705;708816,08;1113364,427;948084,17
United States;Barbados;Export;  All Products;Export (US$ Thousand);443141,469;456391,806;498053,258;404689,435;397391,831;439876,711;458567,57;452155,877;539917,095;591573,499
United States;Belarus;Export;  All Products;Export (US$ Thousand);74489,611;101564,097;134466,124;137255,83;133148,863;156543,879;102025,447;95141,886;93385,923;59257,957
United States;Belgium;Export;  All Products;Export (US$ Thousand);21345547,1;25291387,1;29026394,29;21629705,39;25457982,52;29990461,07;29434611,52;31920916,6;34771811,11;34103941,36
United States;Belize;Export;  All Products;Export (US$ Thousand);238814,568;234327,297;353016,205;252782,652;289388,047;355662,793;265606,023;241172,518;236703,11;284503,569
United States;Benin;Export;  All Products;Export (US$ Thousand);115537,358;289410,571;846232,81;398336,998;462534,82;617574,838;572964,557;605364,254;780951,521;632077,892
United States;Bermuda;Export;  All Products;Export (US$ Thousand);632588,003;659910,329;821707,767;807388,12;636554,214;608943,918;622417,113;537364,179;646392,323;600861,177
United States;Bhutan;Export;  All Products;Export (US$ Thousand);3216,134;4050,496;3960,013;2742,299;3504,719;3838,631;2488,897;2351,165;2422,028;2641,04
United States;Bolivia;Export;  All Products;Export (US$ Thousand);215322,824;277722,022;389102,67;431679,155;507981,144;667847,026;763010,279;1050758,212;1009967,972;910010,492
United States;Bosnia and Herzegovina;Export;  All Products;Export (US$ Thousand);51553,635;20153,042;34113,666;21311,566;26349,51;21331,785;15869,518;38481,079;46080,139;27548,244
United States;Botswana;Export;  All Products;Export (US$ Thousand);26891,085;53858,469;62177,868;93254,655;48496,947;44273,591;47983,957;82090,829;52866,146;39041,97
United States;Brazil;Export;  All Products;Export (US$ Thousand);19227471,94;24628260,84;32909857,69;26175324,39;35417484,01;43018838,99;43771024,01;44092976,53;42427834,22;31665655,44
United States;British Indian Ocean Ter.;Export;  All Products;Export (US$ Thousand);1301,705;978,717;1345,244;1774,962;1479,708;2212,415;2725,208;762,058;2099,098;581,016
United States;British Virgin Islands;Export;  All Products;Export (US$ Thousand);218721,953;176240,181;309888,297;233006,097;145778,454;151474,267;171759,131;312739,469;386662,276;259495,609
United States;Brunei;Export;  All Products;Export (US$ Thousand);47969,35;139629,502;111514,845;100203,375;124168,019;184371,635;157596,189;558209,359;549156,862;133358,647
United States;Bulgaria;Export;  All Products;Export (US$ Thousand);292961,31;306154,545;509434,445;224726,011;170881,502;258589,821;248545,279;307323,074;358776,89;289474,255
United States;Burkina Faso;Export;  All Products;Export (US$ Thousand);18104,296;33139,512;24492,57;26003,754;46587,532;33260,22;47276,772;77598,603;72304,388;54435,611
