Reporter Name;Partner Name;Trade Flow;Product Group;Indicator;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015
United States;Afghanistan;Export;Animal;Export (US$ Thousand);15713,015;9160,602;23098,73;29264,895;38408,066;32583,769;33166,917;23483,161;20995,467;23676,786
United States;Albania;Export;Animal;Export (US$ Thousand);1324,582;1461,052;9243,721;12130,335;17616,189;20736,471;28625,516;27969,518;12156,047;8261,573
United States;Algeria;Export;Animal;Export (US$ Thousand);27538,522;39550,644;69078,458;25612,296;5764,461;51,489;24629,717;133052,467;74358,676;2728,083
United States;Andorra;Export;Animal;Export (US$ Thousand);790;;138,859;160,068;2,78;121,885;;1862,255;;
United States;Angola;Export;Animal;Export (US$ Thousand);62785,264;81252,531;119535,182;66293,692;151768,552;208964,84;245017,525;249340,804;278727,542;115304,142
United States;Anguila;Export;Animal;Export (US$ Thousand);72,31;83,828;545,44;470,155;415,694;769,292;1211,944;1978,644;2606,958;2663,206
United States;Antigua and Barbuda;Export;Animal;Export (US$ Thousand);6332,461;8279,808;11693,466;11374,305;12809,264;13242,119;13379,234;12780,117;14721,992;12720,083
United States;Argentina;Export;Animal;Export (US$ Thousand);12312,439;13722,235;18173,94;17621,161;22149,121;24647,65;19284,435;15092,736;15246,529;11063,573
United States;Armenia;Export;Animal;Export (US$ Thousand);1449,981;3155,423;9541,805;1624,682;5751,083;10726,561;8629,262;16919,082;11865,008;3193,003
United States;Aruba;Export;Animal;Export (US$ Thousand);7950,603;8836,847;12244,109;14482,256;17157,498;20782,582;18235,345;17279,321;20364,278;19663,102
United States;Australia;Export;Animal;Export (US$ Thousand);97103,945;126508,756;167888,981;155795,544;217578,802;301859,876;333072,928;296135,105;364301,262;297590,224
United States;Austria;Export;Animal;Export (US$ Thousand);784,885;1566,203;1614,471;967,883;1197,918;2076,555;5242,827;1547,713;1313,447;787,525
United States;Azerbaijan;Export;Animal;Export (US$ Thousand);715,223;6522,095;15723,917;5955,918;9579,024;16113,9;35947,056;23958,541;21146,236;4197,385
United States;Bahamas, The;Export;Animal;Export (US$ Thousand);58987,48;56065,019;56411,984;68482,555;77990,015;82760,846;81603,852;77253,44;87267,754;87416,285
United States;Bahrain;Export;Animal;Export (US$ Thousand);2820,391;4958,657;15367,996;8220,805;15727,815;22288,881;31921,218;39818,609;38033,754;16103,144
United States;Bangladesh;Export;Animal;Export (US$ Thousand);8510,901;32586,301;15483,957;14666,967;45641,792;49192,686;32929,153;26833,053;30268,831;29881,241
United States;Barbados;Export;Animal;Export (US$ Thousand);9073,914;9571,647;11897,569;13620,756;12942,181;15753,914;17094,911;17864,519;21268,334;25316,398
United States;Belarus;Export;Animal;Export (US$ Thousand);133,347;178,236;452,261;175,98;193,97;32,297;1666,456;519,545;1158,07;525,139
United States;Belgium;Export;Animal;Export (US$ Thousand);64969,719;68274,112;62490,96;56428,526;67866,443;81288,834;59732,568;65320,326;62766,567;59740,678
United States;Belize;Export;Animal;Export (US$ Thousand);2058,876;2031,079;3649,43;3166,279;3283,513;3943,712;4752,748;5651,999;5874,928;7810,59
United States;Benin;Export;Animal;Export (US$ Thousand);78,87;493,214;1729,332;803,687;1972,182;1912,247;7311,263;16942,981;25835,644;17712,012
United States;Bermuda;Export;Animal;Export (US$ Thousand);29006,698;30966,555;38142,054;36462,876;28642,357;28879,118;28027,94;30961,781;32191,466;29614,851
United States;Bhutan;Export;Animal;Export (US$ Thousand);;12,3;33,431;;;;;16,65;11,35;
United States;Bolivia;Export;Animal;Export (US$ Thousand);319,41;245,909;511,827;320,727;276,621;465,42;612,502;772,09;720,201;1384,559
United States;Bosnia and Herzegovina;Export;Animal;Export (US$ Thousand);110,534;458,002;531,702;1340,422;1012,323;192,965;86,575;700,81;184,865;277,468
United States;Botswana;Export;Animal;Export (US$ Thousand);32,865;102,762;23,189;;28,327;14,962;22,534;86,455;32,033;
United States;Brazil;Export;Animal;Export (US$ Thousand);37080,567;59278,815;62130,543;51696,698;54542,494;68319,921;71463,593;81270,134;85441,352;73249,841
United States;British Indian Ocean Ter.;Export;Animal;Export (US$ Thousand);;21,604;;;;;5,773;3,141;;49,61
United States;British Virgin Islands;Export;Animal;Export (US$ Thousand);920,83;1139,598;3635,278;5945,123;7673,884;10003,304;12116,006;10619,794;10407,44;10559,804
United States;Brunei;Export;Animal;Export (US$ Thousand);129,419;48,453;358,52;260,511;176,816;599,945;133,557;1275,5;439,009;324,163
United States;Bulgaria;Export;Animal;Export (US$ Thousand);12523,487;13745,179;45043,537;6918,235;903,466;669,137;463,046;919,115;830,771;363,781
United States;Burkina Faso;Export;Animal;Export (US$ Thousand);;;;94,728;;;33,959;31,61;;
United States;Burundi;Export;Animal;Export (US$ Thousand);;16,632;48,912;;;;435,153;;;
United States;Cambodia;Export;Animal;Export (US$ Thousand);238,242;171,9;446,892;382,856;733,892;835,92;1665,663;2139,451;3368,103;2427,149
United States;Cameroon;Export;Animal;Export (US$ Thousand);660,233;582,949;616,712;608,716;159,685;6994,832;2814,658;7325,267;1643,388;2529,125
