Reporter Name;Partner Name;Trade Flow;Product Group;Indicator;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015
United States;Afghanistan;Export;Fuels;Export (US$ Thousand);106,653;42,846;179,503;455,904;879,383;719,469;772,649;527,219;400,561;358,159
United States;Albania;Export;Fuels;Export (US$ Thousand);160,439;38,101;14,495;6,893;63,455;18,478;2460,184;2943,685;6060,427;2200,072
United States;Algeria;Export;Fuels;Export (US$ Thousand);46100,723;187395,9;51781,825;83431,678;13802,373;157000,915;28959,643;329715,164;52709,11;63002,536
United States;Andorra;Export;Fuels;Export (US$ Thousand);;;;;7,884;4,679;;182,777;;4,528
United States;Angola;Export;Fuels;Export (US$ Thousand);2091,692;3141,399;3925,393;44679,74;2036,051;4958,064;4023,016;17536,593;9699,458;1498,52
United States;Anguila;Export;Fuels;Export (US$ Thousand);887,82;917,564;991,658;810,005;1257,65;1251,104;1008,139;1190,994;18201,659;1157,419
United States;Antigua and Barbuda;Export;Fuels;Export (US$ Thousand);31222,138;47016,152;1247,454;1695,448;24536,556;28549,611;55438,489;6909,065;61823,993;444097,424
United States;Argentina;Export;Fuels;Export (US$ Thousand);284156,658;327599,986;832075,77;512212,537;730080,592;1787123,33;2418628,527;2390079,186;2661887,444;1733390,947
United States;Armenia;Export;Fuels;Export (US$ Thousand);10,593;20,893;;4848,742;37045,224;63,508;100,481;116,607;297,387;13,405
United States;Aruba;Export;Fuels;Export (US$ Thousand);121582,245;120563,595;270208,455;119479,022;207276,48;272210,25;312183,914;668578,34;868474,037;745868,892
United States;Australia;Export;Fuels;Export (US$ Thousand);211752,328;235762,149;356712,603;279840,506;226928,295;403795,12;360279,887;298673,216;384474,605;242014,765
United States;Austria;Export;Fuels;Export (US$ Thousand);5391,337;20844,945;36899,557;36504,939;82165,053;92448,063;259310,363;88589,176;48876,833;40207,739
United States;Azerbaijan;Export;Fuels;Export (US$ Thousand);14,414;201,797;250,947;138,69;400,375;228,28;1070,24;877,709;2086,685;1441,379
United States;Bahamas, The;Export;Fuels;Export (US$ Thousand);763106,555;941094,756;1287279,935;1122595,628;1695148,679;1805407,804;1747436,857;1558261,695;1428808,716;715241,628
United States;Bahrain;Export;Fuels;Export (US$ Thousand);464,914;17201,603;1616,244;3092,749;7051,194;28123,786;10345,6;17163,778;2560,114;2459,036
United States;Bangladesh;Export;Fuels;Export (US$ Thousand);63,043;87,3;252,039;152,619;109,082;137,241;252,416;987,758;904,551;373,042
United States;Barbados;Export;Fuels;Export (US$ Thousand);12988,775;12989,844;11242,476;8695,315;5888,709;7282,703;33737,401;5704,463;64454,268;110283,791
United States;Belarus;Export;Fuels;Export (US$ Thousand);9,86;18,327;3,447;32,638;126,278;87,639;35,444;15,245;41,976;50,703
United States;Belgium;Export;Fuels;Export (US$ Thousand);507818,809;493277,245;1121130,936;977236,558;850948,245;1715463,001;1124228,475;2159488,855;1343275,695;1255698,489
United States;Belize;Export;Fuels;Export (US$ Thousand);45188,155;33400,504;88491,042;49055,004;82280,49;127514,678;46537,96;4987,62;4013,155;20673,361
