Reporter Name;Partner Name;Trade Flow;Product Group;Indicator;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015
United States;Afghanistan;Export;Plastic or Rubber;Export (US$ Thousand);2918,032;5102,633;6569,407;15772,015;21022,77;12356,033;12425,234;9057,649;5793,541;4688,916
United States;Albania;Export;Plastic or Rubber;Export (US$ Thousand);555,038;590,578;256,845;836,866;283,865;467,668;695,535;357,531;488,773;671,491
United States;Algeria;Export;Plastic or Rubber;Export (US$ Thousand);37649,4;57674,574;58661,008;68087,64;82759,678;104480,856;85432,248;104152,701;79065,031;103620,898
United States;Andorra;Export;Plastic or Rubber;Export (US$ Thousand);190,097;549,871;719,164;390,958;626,962;721,188;416,025;809,929;410,651;394,828
United States;Angola;Export;Plastic or Rubber;Export (US$ Thousand);7450,177;12939,13;18734,389;10848,917;16650,368;24163,698;30374,656;24813,559;41184,766;34480,527
United States;Anguila;Export;Plastic or Rubber;Export (US$ Thousand);2029,683;17238,37;2410,088;4145,944;1133,44;1014,652;735,863;1486,287;1276,99;1292,688
United States;Antigua and Barbuda;Export;Plastic or Rubber;Export (US$ Thousand);4540,375;6627,764;4450,833;4980,8;3474,565;3352,834;3404,845;4027,722;3767,136;3179,271
United States;Argentina;Export;Plastic or Rubber;Export (US$ Thousand);324321,766;439142,927;469318,308;361459,412;566503,451;683168,568;659826,374;667293,696;625179,704;640561,66
United States;Armenia;Export;Plastic or Rubber;Export (US$ Thousand);436,418;641,288;884,318;373,25;1460,594;3484,159;3191,724;2126,641;2829,634;1142,086
United States;Aruba;Export;Plastic or Rubber;Export (US$ Thousand);14520,513;6722,476;7388,588;7025,496;5382,392;8396,638;6297,06;6404,559;7027,041;7384,214
United States;Australia;Export;Plastic or Rubber;Export (US$ Thousand);745857,616;933853,116;992072,877;790526,354;1000675,271;1132839,664;1293314,356;1210018,784;1096235,052;1008937,832
United States;Austria;Export;Plastic or Rubber;Export (US$ Thousand);71065,416;74971,672;103537,462;103456,43;108865,325;89718,927;66900,999;58150,516;56654,098;87300,152
United States;Azerbaijan;Export;Plastic or Rubber;Export (US$ Thousand);1383,402;3295,819;2648,245;1449,315;4748,061;7779,293;7350,982;5075,735;5550,651;8076,684
United States;Bahamas, The;Export;Plastic or Rubber;Export (US$ Thousand);50125,161;40556,856;39962,773;36090,742;38513,899;40442,955;45983,322;47076,126;51981,162;53194,347
United States;Bahrain;Export;Plastic or Rubber;Export (US$ Thousand);3832,458;5340,112;8724,97;11061,055;18212,128;25907,265;26192,321;29274,065;31793,813;31479,332
