Reporter Name;Partner Name;Trade Flow;Product Group;Indicator;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015
United States;Afghanistan;Export;Vegetable;Export (US$ Thousand);30978,494;41099,547;50429,936;20645,535;41486,456;30204,296;11715,19;2320,843;6222,254;7401,978
United States;Albania;Export;Vegetable;Export (US$ Thousand);60,243;1101,039;244,569;931,032;1615,39;1272,07;1414,985;617,279;780,338;714,85
United States;Algeria;Export;Vegetable;Export (US$ Thousand);201025,437;470751,547;287717,488;144280,94;178133,753;161812,03;174393,56;140436,662;142601,052;119646,527
United States;Andorra;Export;Vegetable;Export (US$ Thousand);;107;;;93,34;184,138;4,469;518,14;746,744;
United States;Angola;Export;Vegetable;Export (US$ Thousand);12215,817;11061,37;19693,753;5840,251;12401,669;8076,172;13126,177;14914,58;12343,579;5546,487
United States;Anguila;Export;Vegetable;Export (US$ Thousand);1631,447;2039,404;2049,956;1735,406;1209,864;838,835;683,59;1260,573;904,381;1245,488
United States;Antigua and Barbuda;Export;Vegetable;Export (US$ Thousand);4064,428;3908,962;5429,962;4114,81;2520,628;2845,441;3021,148;2938,938;2858,307;3891,986
United States;Argentina;Export;Vegetable;Export (US$ Thousand);31347,059;38359,297;53261,917;41366,154;49852,167;55123,511;62456,753;57663,812;56329,832;52816,182
United States;Armenia;Export;Vegetable;Export (US$ Thousand);510,506;5756,334;440,515;2544,907;432,841;217,954;397,569;421,55;719,786;377,109
United States;Aruba;Export;Vegetable;Export (US$ Thousand);4802,098;5342,715;8896,26;8322,195;8622,905;13180,657;13312,174;12523,287;12776,758;11704,617
United States;Australia;Export;Vegetable;Export (US$ Thousand);179494,877;245272,041;283980,241;297344,597;281022,578;366601,297;389016,782;406620,753;448841,212;391837,118
United States;Austria;Export;Vegetable;Export (US$ Thousand);24898,378;47506,64;77233,678;29947,696;14588,19;23112,024;32400,708;41619,57;18939,231;12069,346
United States;Azerbaijan;Export;Vegetable;Export (US$ Thousand);968,89;39,2;339,169;533,656;897,812;1632,969;385,595;476,239;947,565;1268,598
United States;Bahamas, The;Export;Vegetable;Export (US$ Thousand);42499,763;47303,318;46134,699;47055,743;42564,973;50758,985;54854,033;56759,627;58135,374;55452,36
United States;Bahrain;Export;Vegetable;Export (US$ Thousand);2827,637;3074,076;13894,95;6906,947;6775,191;8168,884;7115,77;9044,69;9122,622;8803,034
United States;Bangladesh;Export;Vegetable;Export (US$ Thousand);19234,692;96086,252;47036,909;18315,427;59394,256;38950,297;43421,43;75778,374;197355,983;345428,776
United States;Barbados;Export;Vegetable;Export (US$ Thousand);22671,264;27877,594;47772,444;37851,095;32266,495;41615,557;39237,334;42622,142;46545,375;38724,352
United States;Belarus;Export;Vegetable;Export (US$ Thousand);35,215;182,058;167,381;150,984;423,435;441,891;313,001;281,951;677,21;226,735
United States;Belgium;Export;Vegetable;Export (US$ Thousand);274674,586;308689,561;290142,005;290495,716;330677,334;277998,788;262244,357;294307,971;372702,981;425365,758
United States;Belize;Export;Vegetable;Export (US$ Thousand);7422,347;8722,801;12999,469;11805,139;10260,561;14650,653;16397,755;18110,551;12850,712;15632,612
United States;Benin;Export;Vegetable;Export (US$ Thousand);1534,934;587,962;1990,794;13453,455;2666,137;105;4161,665;5448,875;10328,048;11253,719
United States;Bermuda;Export;Vegetable;Export (US$ Thousand);15668,835;17038,413;18532,319;19694,982;20954,09;22776,086;17043,781;16718,939;17943,416;19314,337
United States;Bhutan;Export;Vegetable;Export (US$ Thousand);;45,354;;;;;;;;
United States;Bolivia;Export;Vegetable;Export (US$ Thousand);7147,965;7823,152;4927,044;1047,673;2434,14;2281,794;3254,769;7922,751;6545,612;3578,217
United States;Bosnia and Herzegovina;Export;Vegetable;Export (US$ Thousand);271,381;166,827;724,725;270,517;663,423;2258,002;2689,07;3567,337;1626,119;4212,695
United States;Botswana;Export;Vegetable;Export (US$ Thousand);67,4;;20,625;;;;20,434;60,856;92,933;56,324
United States;Brazil;Export;Vegetable;Export (US$ Thousand);77075,526;182452,255;414877,499;148334,233;249581,866;166248,422;153686,896;1366252,67;881104,855;234009,156
United States;British Indian Ocean Ter.;Export;Vegetable;Export (US$ Thousand);;;26,31;;;;;14,566;3,695;
United States;British Virgin Islands;Export;Vegetable;Export (US$ Thousand);6297,515;6670,429;4310,329;2019,458;2306,206;7498,393;5502,924;5564,694;4338,567;2961,134
United States;Brunei;Export;Vegetable;Export (US$ Thousand);256,5;381,557;522,985;1390,311;1053,607;1109,881;1498,991;1053,415;1151,056;851,915
United States;Bulgaria;Export;Vegetable;Export (US$ Thousand);2817,59;4371,739;7630,636;4992,12;5596,781;8151,259;8325,145;12885,553;23047,403;8178,208
United States;Burkina Faso;Export;Vegetable;Export (US$ Thousand);6157,599;8481,118;5468,482;3145,691;3887,334;3372,983;7574,522;6610,88;8579,737;4769,697
United States;Burundi;Export;Vegetable;Export (US$ Thousand);3351,233;3947,261;4450,034;2877,426;2280,122;6062,664;2818,858;1843,832;;394,638
United States;Cambodia;Export;Vegetable;Export (US$ Thousand);1624,011;4338,241;3007,488;3479,615;5674,695;5315,712;7848,569;8306,399;8367,813;9903,31
United States;Cameroon;Export;Vegetable;Export (US$ Thousand);3878,085;1532,427;8209,377;13647;21773,504;14385,081;11262,935;19411,913;12749,488;15776,311
United States;Canada;Export;Vegetable;Export (US$ Thousand);5882608,921;6924697,481;8053046,278;7585063,08;8247099,533;9202355,522;9441563,825;9661297,725;9865873,618;9254334,061
United States;Cape Verde;Export;Vegetable;Export (US$ Thousand);1940,752;1488,024;17,675;5,907;2036,464;51,09;;44,27;165,843;178,614
United States;Cayman Islands;Export;Vegetable;Export (US$ Thousand);15761,777;16763,614;17984,983;10215,329;8311,24;8521,618;11260,955;15449,096;15421,13;12603,385
United States;Central African Republic;Export;Vegetable;Export (US$ Thousand);2484,499;5625,646;2538,612;3629,578;6,483;612,308;1110,24;;10,866;18,62
United States;Chad;Export;Vegetable;Export (US$ Thousand);9828,639;10341,368;9557,411;3201,291;6832,895;13872,482;9881,908;566,628;5029,612;1991,644
United States;Chile;Export;Vegetable;Export (US$ Thousand);154385,586;253795,13;260651,746;115729,459;190917,314;195828,944;184235,887;329324,161;242775,949;202708,854
United States;China;Export;Vegetable;Export (US$ Thousand);2926563,973;4593801,83;7797081,751;9863436,806;12327092,07;12454078,53;17722624,79;16928689,22;17357424,9;14097671,44
United States;Christmas Island;Export;Vegetable;Export (US$ Thousand);;;;;;336,901;73;;;
United States;Cocos (Keeling) Islands;Export;Vegetable;Export (US$ Thousand);33,609;;;;;;;;4157,062;
