Reporter Name;Partner Name;Trade Flow;Product Group;Indicator;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015
United States;Afghanistan;Export;Wood;Export (US$ Thousand);618,98;394,78;1052,054;3941,25;7832,241;2739,908;4223,042;3059,295;3614,335;682,529
United States;Albania;Export;Wood;Export (US$ Thousand);354,442;767,866;597,294;1510,007;361,998;465,633;291,431;372,315;599,623;698,685
United States;Algeria;Export;Wood;Export (US$ Thousand);7632,679;11936,037;18586,067;18763,408;28862,836;36614,151;34762,914;33986,942;43559,033;40925,199
United States;Andorra;Export;Wood;Export (US$ Thousand);542,755;365,293;529,76;33,581;29,733;13,48;17,233;7,002;5;31,257
United States;Angola;Export;Wood;Export (US$ Thousand);1562,538;2986,566;2661,419;4730,032;3048,553;7506,174;5877,712;8017,868;9108,056;10516,632
United States;Anguila;Export;Wood;Export (US$ Thousand);4670,688;5111,86;6065,037;3205,78;1777,551;1658,199;1738,577;2053,923;3339,051;2726,626
United States;Antigua and Barbuda;Export;Wood;Export (US$ Thousand);12453,68;13599,356;14023,346;10740,071;8726,417;8428,759;8698,674;7433,199;8621,675;10596,615
United States;Argentina;Export;Wood;Export (US$ Thousand);82975,301;118014,485;124616,612;93549,585;138682,301;138433,587;110267,301;108255,331;82303,046;95532,394
United States;Armenia;Export;Wood;Export (US$ Thousand);1138,85;253,018;810,252;146,129;267,34;183,04;74,257;138,995;349,616;470,856
United States;Aruba;Export;Wood;Export (US$ Thousand);11995,58;12257,628;12893,258;11213,483;12512,394;10735,77;11373,12;14296,807;12920,945;13480,793
United States;Australia;Export;Wood;Export (US$ Thousand);474621,914;489970,403;534328,555;464358,72;514629,839;536552,423;529337,093;494874,896;504702,581;440317,964
United States;Austria;Export;Wood;Export (US$ Thousand);35206,338;32210,966;19878,628;16814,228;14048,951;21618,405;26461,142;12170,748;44209,904;75536,417
United States;Azerbaijan;Export;Wood;Export (US$ Thousand);181,639;1893,786;925,782;771,186;224,162;478,613;577,854;1035,07;925,481;267,583
United States;Bahamas, The;Export;Wood;Export (US$ Thousand);112171,115;106201,558;88952,107;76970,232;74486,447;76913,592;88890,1;95377,216;91270,362;84964,327
United States;Bahrain;Export;Wood;Export (US$ Thousand);4336,592;5316,701;8033,206;7378,814;9597,146;8660,82;10992,988;8275,459;9719,627;10659,248
United States;Bangladesh;Export;Wood;Export (US$ Thousand);18050,154;14765,729;10146,993;13788,884;13618,292;23959,08;19398,442;11107,508;13282,639;18924,212
United States;Barbados;Export;Wood;Export (US$ Thousand);29151,347;28755,853;32734,372;24215,476;28091,453;28465,23;24827,221;25483,177;23459,646;25165,982
United States;Belarus;Export;Wood;Export (US$ Thousand);33,429;155,216;565,202;328,187;593,949;259,796;678,497;341,363;822,643;444,872
United States;Belgium;Export;Wood;Export (US$ Thousand);284802,144;297570,034;351987,641;318427,89;301742,113;296245,673;304862,324;413421,91;398781,572;413698,918
United States;Belize;Export;Wood;Export (US$ Thousand);8687,185;7177,741;6629,294;6983,823;7493,27;6677,503;7756,737;9089,484;8920,564;9874,04
