Reporter Name;Partner Name;Trade Flow;Product Group;Indicator;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015
United States;Afghanistan;Import;Animal;Import (US$ Thousand);;;18,148;;;3,544;151,59;;32,51;
United States;Albania;Import;Animal;Import (US$ Thousand);;;;;;;;;16,841;4,045
United States;Anguila;Import;Animal;Import (US$ Thousand);;;;;;;;;;93,986
United States;Antigua and Barbuda;Import;Animal;Import (US$ Thousand);;;;138,958;;;;67,5;;
United States;Argentina;Import;Animal;Import (US$ Thousand);210567,015;187344,13;187089,431;156605,925;164044,07;232976,355;256018,507;292164,26;355641,121;321522,714
United States;Armenia;Import;Animal;Import (US$ Thousand);497,604;413,261;431,895;511,52;475,251;549,042;273,49;119,538;;270,806
United States;Aruba;Import;Animal;Import (US$ Thousand);;10,588;;;;;;;;
United States;Australia;Import;Animal;Import (US$ Thousand);1544174,468;1651698,561;1429962,799;1340590,8;1287171,803;1368430,234;1585218,943;1602364,534;2856641,153;3379240,325
United States;Austria;Import;Animal;Import (US$ Thousand);4834,253;6471,721;7296,889;6157,368;7729,531;8369,709;7852,956;8193,262;8059,267;8210,313
United States;Azerbaijan;Import;Animal;Import (US$ Thousand);;14,899;;42,6;;;40;42,552;4,878;
United States;Bahamas, The;Import;Animal;Import (US$ Thousand);49994,485;50028,266;55349,904;44602,876;51625,28;47258,455;53893,579;47800,908;44897,133;48803,133
United States;Bahrain;Import;Animal;Import (US$ Thousand);716,305;162,489;849,463;1592,224;2747,283;1416,095;1280,237;952,34;1747,402;852,579
United States;Bangladesh;Import;Animal;Import (US$ Thousand);196662,934;158356,421;133777,694;98152,361;98765,002;67826,89;43613,999;59218,615;30689,275;42367,892
United States;Barbados;Import;Animal;Import (US$ Thousand);1398,913;1211,324;843,214;668,032;752,328;701,794;1224,635;1662,374;1837,657;2230,113
United States;Belarus;Import;Animal;Import (US$ Thousand);;406,39;;;;;33,977;29,76;64,507;60,41
United States;Belgium;Import;Animal;Import (US$ Thousand);12168,566;11619,525;21453,918;21979,344;25892,052;38356,722;41827,228;28150,067;24935,473;27127,555
United States;Belize;Import;Animal;Import (US$ Thousand);27461,901;15426,579;16803,137;13681,817;16796,528;14257,753;15450,911;19630,411;20078,658;16077,321
