Reporter Name;Partner Name;Trade Flow;Product Group;Indicator;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015
United States;Albania;Import;Fuels;Import (US$ Thousand);11854,994;;;;;;;;41422,169;129273,291
United States;Algeria;Import;Fuels;Import (US$ Thousand);16077617,99;18384243,75;19981089,45;11134732,4;14934694,6;14901323,85;9988228,392;4820465,86;4743224,1;3419744,997
United States;Angola;Import;Fuels;Import (US$ Thousand);12116445;12867081,64;19459530,15;9653350,745;12148770,97;13661643,94;9716989,453;8719269,791;5822391,425;2845135,977
United States;Antigua and Barbuda;Import;Fuels;Import (US$ Thousand);;;;;;;;1134;;19,652
United States;Argentina;Import;Fuels;Import (US$ Thousand);1445797,145;1978164,973;2246969,281;1548415,077;1235740,127;1232904,124;1090609,109;642875,416;1124568,552;531751,779
United States;Aruba;Import;Fuels;Import (US$ Thousand);2881296,77;3052512,801;3239463,935;1289793,718;5000,399;3298444,117;781894,658;7844,224;5,45;27606,617
United States;Australia;Import;Fuels;Import (US$ Thousand);206367,991;136691,136;1229421,931;312031,731;283100,513;409814,232;250999,935;81764,687;64468,324;205873,422
United States;Austria;Import;Fuels;Import (US$ Thousand);1209,507;744,792;758,61;1107,03;1760,012;6286,251;10345,375;8546,363;8245,372;1372,302
United States;Azerbaijan;Import;Fuels;Import (US$ Thousand);731392,613;1922998,997;4453456,177;2009662,367;2035582,756;2463454,331;1086403,666;1131447,47;1030735,115;391745,269
United States;Bahamas, The;Import;Fuels;Import (US$ Thousand);95166,464;176967,455;118268,231;526156,395;487406,549;433251,891;88170,263;92270,203;90188,864;34621,728
United States;Bahrain;Import;Fuels;Import (US$ Thousand);;32693,091;22431,639;31301,64;;36,122;120377,326;94657,411;170766,746;128810,25
United States;Barbados;Import;Fuels;Import (US$ Thousand);;38,508;;;;;;;;
United States;Belarus;Import;Fuels;Import (US$ Thousand);331858,431;808979,292;968253,391;547881,953;115939,813;271894,242;67186,82;7559,305;76,601;29,888
United States;Belgium;Import;Fuels;Import (US$ Thousand);2107993,824;2649797,929;3340386,078;1594217,793;2417277,175;2286484,863;2473418,781;2790112,451;3347105,139;2216841,468
United States;Belize;Import;Fuels;Import (US$ Thousand);48494,036;29636,063;90555,847;32554,871;71094,08;127751,095;103052,817;70896,655;27971,981;
United States;Benin;Import;Fuels;Import (US$ Thousand);;;15826,296;61,044;;;;;;
United States;Bermuda;Import;Fuels;Import (US$ Thousand);583,335;479,328;373,775;315,97;8402,422;3,85;76,255;5,475;19,892;
United States;Bolivia;Import;Fuels;Import (US$ Thousand);56829;69107,151;166750,399;136218,716;209826,395;222347,448;121631,227;27381,402;99,7;
United States;Bosnia and Herzegovina;Import;Fuels;Import (US$ Thousand);8910,703;;;;;10508,761;5619,241;4907,485;4026,855;
United States;Brazil;Import;Fuels;Import (US$ Thousand);3970746,727;4851695,442;9141929,634;6901979,862;8185246,604;10774629,35;9400306,379;5782412,594;6557031,68;4773663,187
United States;British Virgin Islands;Import;Fuels;Import (US$ Thousand);;;;;;574,79;43,2;;;
United States;Brunei;Import;Fuels;Import (US$ Thousand);436774,722;295311,36;37635,05;;;;74538,698;;;
United States;Bulgaria;Import;Fuels;Import (US$ Thousand);20306,185;96475,193;66693,079;17567,238;5,362;64760,058;61787,682;60,996;14267,497;7631,4
United States;Cameroon;Import;Fuels;Import (US$ Thousand);224858,538;227148,376;566434,218;218051,326;226017,632;218317,199;187369,694;270166,263;106672,146;43799,313
United States;Canada;Import;Fuels;Import (US$ Thousand);74421584,88;80081675,19;113081672,4;64941944,94;85270546;103404658,5;103655361,7;109575472,4;121761156,3;74849528,23
United States;Cayman Islands;Import;Fuels;Import (US$ Thousand);46,71;34,133;15,616;56,23;2,995;;;;;17,689
United States;Chad;Import;Fuels;Import (US$ Thousand);1991953,173;2226768,283;3445976,733;2038914,34;2097187,463;3239144,327;2651303,062;2447185,411;2367917,538;1335023,411
United States;Chile;Import;Fuels;Import (US$ Thousand);247991,518;205710,787;34,634;64163,058;76766,338;60469,865;68535,266;80433,009;49745,214;29319,387
United States;China;Import;Fuels;Import (US$ Thousand);1263998,868;724897,599;2187580,639;318554,571;510497,193;365077,493;301679,539;365276,352;453847,84;504070,613
United States;Colombia;Import;Fuels;Import (US$ Thousand);5354848,48;5547656,291;8784420,736;6938043,606;10782306,71;17171473,47;17667480,41;15386437,39;12273500,37;8503470,63
United States;Congo, Dem. Rep.;Import;Fuels;Import (US$ Thousand);8,703;42485,778;115502,947;324085,476;522088,935;596024,259;6233,328;;;
United States;Congo, Rep.;Import;Fuels;Import (US$ Thousand);3167693,055;3161767,971;5166946,267;3165154,397;3354430,973;2426151,834;1454149,496;1092923,402;395042,372;278109,704
United States;Costa Rica;Import;Fuels;Import (US$ Thousand);5893,193;;26013,459;19468,275;20041,03;;89,5;9,69;14,1;36,268
United States;Cote d'Ivoire;Import;Fuels;Import (US$ Thousand);199004,603;118031,733;408592,229;69454,73;301006,884;233639,74;224966,086;56077,885;120620,936;255,126
United States;Croatia;Import;Fuels;Import (US$ Thousand);;;;;7557,818;4734,134;5289,631;4530,096;6,353;5,867
United States;Curaçao;Import;Fuels;Import (US$ Thousand);;;;;;97373,344;373034,598;320304,007;275686,136;133883,438
United States;Cyprus;Import;Fuels;Import (US$ Thousand);28387,231;;37,307;;3,516;;8,18;3;65,955;9,034
United States;Czech Republic;Import;Fuels;Import (US$ Thousand);181,369;46,916;112,338;19,169;6,445;2,11;86,441;4095,926;3085,165;6850,917
United States;Denmark;Import;Fuels;Import (US$ Thousand);178804,61;112518,74;136259,715;39821,633;44036,654;94899,877;48154,678;65651,198;105027,362;57217,568
United States;Dominican Republic;Import;Fuels;Import (US$ Thousand);75,505;3786,815;8337,525;11981,679;17313,923;56395,18;62572,872;66430,23;121680,828;39273,553
United States;Ecuador;Import;Fuels;Import (US$ Thousand);5786646,625;4731879,862;7608800,521;3696687,871;5849246,637;7667924,129;7088371,72;8844069,598;7531884,491;4546814,726
United States;Egypt, Arab Rep.;Import;Fuels;Import (US$ Thousand);1053317,847;1174976,873;981565,702;917966,473;785117,862;364729,988;1375323,358;198860,747;1394,856;40694,243
United States;El Salvador;Import;Fuels;Import (US$ Thousand);23526,01;737,452;995,425;455,156;11364,284;1076,549;1034,582;1096,677;1044,332;673,148
United States;Equatorial Guinea;Import;Fuels;Import (US$ Thousand);1722720,475;1624171,376;3274499,351;2494715,139;2137165,825;1085775,839;1589197,098;763200,849;125622,077;79830,713
United States;Estonia;Import;Fuels;Import (US$ Thousand);386423,143;171882,01;214778,462;49441,063;24862,017;91544,762;27862,466;12951,635;491,996;3032,458
United States;Ethiopia(excludes Eritrea);Import;Fuels;Import (US$ Thousand);;;;;;;;;2,99;
