Reporter Name;Partner Name;Trade Flow;Product Group;Indicator;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015
United States;Afghanistan;Import;Plastic or Rubber;Import (US$ Thousand);1,873;;3,446;2,026;8,426;15,135;;17,031;334,312;20,89
United States;Albania;Import;Plastic or Rubber;Import (US$ Thousand);1,035;;15,439;18,32;1,13;6,436;5,515;47,694;;24,594
United States;Algeria;Import;Plastic or Rubber;Import (US$ Thousand);0,787;3,514;0,43;3,121;1,504;3,107;0,951;1,653;1,81;
United States;Andorra;Import;Plastic or Rubber;Import (US$ Thousand);3,65;0,557;183,032;46,637;15,276;;2,174;;;18,311
United States;Angola;Import;Plastic or Rubber;Import (US$ Thousand);47,55;1,2;;;;7,379;;135,495;64,636;1,012
United States;Anguila;Import;Plastic or Rubber;Import (US$ Thousand);;31,931;0,661;32,661;19,982;17,241;36,376;;72,739;24,118
United States;Antigua and Barbuda;Import;Plastic or Rubber;Import (US$ Thousand);21,129;40,096;0,761;3,696;16,719;0,992;13,218;19,163;2,705;1,671
United States;Argentina;Import;Plastic or Rubber;Import (US$ Thousand);84321,165;85616,945;75330,052;69030,615;68021,605;61989,384;47385,386;44013,353;47727,663;52387,382
United States;Armenia;Import;Plastic or Rubber;Import (US$ Thousand);2873,729;2716,615;959,303;1032,493;1060,33;5,563;78,415;46,122;6,266;3,474
United States;Aruba;Import;Plastic or Rubber;Import (US$ Thousand);13,432;1,161;;21,583;17,832;19,338;7,213;50,853;4,054;17,743
United States;Australia;Import;Plastic or Rubber;Import (US$ Thousand);69689,825;89825,294;94319,653;84137,038;91556,773;128268,849;128301,808;73877,195;66917,767;70501,255
United States;Austria;Import;Plastic or Rubber;Import (US$ Thousand);172651,925;193305,948;201680,362;175287,644;229155,179;250795,444;247694,84;255902,315;257911,238;242219,805
United States;Azerbaijan;Import;Plastic or Rubber;Import (US$ Thousand);;1,024;7,172;;;2,662;0,297;1,464;40,719;2,1
United States;Bahamas, The;Import;Plastic or Rubber;Import (US$ Thousand);131851,484;142185,821;143807,423;98485,997;99927,266;128841,402;137285,279;148497,277;165858,853;93949,738
United States;Bahrain;Import;Plastic or Rubber;Import (US$ Thousand);83,687;24,586;16,012;12,671;29,447;5,093;95,089;1450,591;34415,397;42009,189
United States;Bangladesh;Import;Plastic or Rubber;Import (US$ Thousand);14133,951;15566,972;18479,746;9894,387;12881,858;13796,544;13404,421;13990,784;14698,634;15974,258
United States;Barbados;Import;Plastic or Rubber;Import (US$ Thousand);160,712;180,186;79,568;323,043;22,457;18,442;41,947;39,63;88,991;58,191
United States;Belarus;Import;Plastic or Rubber;Import (US$ Thousand);32792,323;21536,875;21737,412;2022,009;1729,216;8291,019;1619,142;1004,605;443,421;275,089
United States;Belgium;Import;Plastic or Rubber;Import (US$ Thousand);425572,598;395658,503;404998,844;290570,658;361779,007;418953,306;396949,836;421206,244;562387,189;638015,792
United States;Belize;Import;Plastic or Rubber;Import (US$ Thousand);132,124;72,725;244,99;223,294;130,722;86,028;75,597;125,994;290,198;225,492
United States;Benin;Import;Plastic or Rubber;Import (US$ Thousand);3,232;;;;;;;;;
United States;Bermuda;Import;Plastic or Rubber;Import (US$ Thousand);88,201;70,16;11,923;5,109;3,325;2,404;5,725;2,05;3,075;
United States;Bhutan;Import;Plastic or Rubber;Import (US$ Thousand);;;;;;;;;;1,483
United States;Bolivia;Import;Plastic or Rubber;Import (US$ Thousand);1249,843;2040,903;1842,556;1047,246;1379,023;1434,228;1347,25;2489,711;2118,672;1310,895
United States;Bosnia and Herzegovina;Import;Plastic or Rubber;Import (US$ Thousand);6,12;15,224;156,356;35,403;2,317;128,784;103,739;45,348;1098,981;713,501
United States;Botswana;Import;Plastic or Rubber;Import (US$ Thousand);28,44;3,804;;0,602;8,498;200,798;50,798;0,777;;7,7
United States;Brazil;Import;Plastic or Rubber;Import (US$ Thousand);658541,3;756602,892;770277,813;578467,73;708205,258;806431,96;756142,941;565597,485;602457,031;620476,527
United States;British Indian Ocean Ter.;Import;Plastic or Rubber;Import (US$ Thousand);;;;1,983;3,605;3,612;;0,481;;
United States;British Virgin Islands;Import;Plastic or Rubber;Import (US$ Thousand);394,597;601,491;1136,603;93,012;76,938;301,866;124,961;19,887;2,777;475,306
United States;Brunei;Import;Plastic or Rubber;Import (US$ Thousand);125,263;131,578;4,318;110,819;111,657;21,506;33,323;;0,397;
United States;Bulgaria;Import;Plastic or Rubber;Import (US$ Thousand);8401,199;3873,259;1064,321;2180,723;4121,523;6740,679;6463,401;6803,737;13111,605;14349,811
United States;Burkina Faso;Import;Plastic or Rubber;Import (US$ Thousand);18,068;8,409;0,299;5,097;;0,383;;;3,379;
United States;Cambodia;Import;Plastic or Rubber;Import (US$ Thousand);10744,12;9903,631;9758,667;6384,345;14594,119;16740,948;19515,603;20683,381;34708,298;71193,887
United States;Cameroon;Import;Plastic or Rubber;Import (US$ Thousand);9638,095;9237,497;17116,595;9467,073;21704,894;35961,169;30830,937;24882,763;15048,484;11733,211
United States;Canada;Import;Plastic or Rubber;Import (US$ Thousand);14400875,02;13935988,02;13707495,26;10133093,41;12257112,4;13961921,61;13647361,94;13837525,89;14539565,79;13616704,49
United States;Cape Verde;Import;Plastic or Rubber;Import (US$ Thousand);25,888;55,053;2,2;0,799;0,817;0,434;0,441;;;
United States;Cayman Islands;Import;Plastic or Rubber;Import (US$ Thousand);24,456;19,284;66,806;3,573;1,944;6,893;22,483;3,468;5,097;8,199
United States;Central African Republic;Import;Plastic or Rubber;Import (US$ Thousand);;0,298;;13,822;53,001;5,277;;;;
United States;Chad;Import;Plastic or Rubber;Import (US$ Thousand);58,029;;;0,451;0,344;;;;;
United States;Chile;Import;Plastic or Rubber;Import (US$ Thousand);78845,617;55688,63;60046,57;24548,953;94745,663;225416,693;321897,877;379030,568;431729,681;437040,051
United States;China;Import;Plastic or Rubber;Import (US$ Thousand);11002554,19;12543493,2;13500921,58;11755754,46;14079396,33;16071971,16;16898187,89;18252702,33;21179637,98;20261031,02
United States;Christmas Island;Import;Plastic or Rubber;Import (US$ Thousand);4,312;57,133;;24,02;45,073;;3,844;;;195,538
United States;Cocos (Keeling) Islands;Import;Plastic or Rubber;Import (US$ Thousand);109,154;134,938;78,285;108,627;117,607;140,915;24,684;1,008;0,263;
United States;Colombia;Import;Plastic or Rubber;Import (US$ Thousand);163794,587;172416,891;166588,391;115310,642;165220,142;182761,178;156621,16;140281,548;169178,219;178236,447
United States;Comoros;Import;Plastic or Rubber;Import (US$ Thousand);;;;0,398;;;;;;
United States;Congo, Dem. Rep.;Import;Plastic or Rubber;Import (US$ Thousand);152,153;0,926;5,592;6,166;20,311;5,028;22,081;57,456;37,857;5,926
United States;Congo, Rep.;Import;Plastic or Rubber;Import (US$ Thousand);19,427;84,761;10,137;2,552;18,754;7,565;1,313;;;0,255
United States;Cook Islands;Import;Plastic or Rubber;Import (US$ Thousand);0,653;;1,469;3,645;;31,81;65,106;;;
United States;Costa Rica;Import;Plastic or Rubber;Import (US$ Thousand);179442,056;190480,179;190380,242;166265,182;204895,549;257241,461;254242,273;254960,792;263284,713;255544,696
United States;Cote d'Ivoire;Import;Plastic or Rubber;Import (US$ Thousand);9378,58;11635,473;31902,89;23430,581;81560,777;149858,805;105388,922;104515,103;88301,515;61289,596
United States;Croatia;Import;Plastic or Rubber;Import (US$ Thousand);929,377;903,324;412,012;529,123;622,283;1006,171;778,894;685,337;868,042;1134,688
United States;Curaçao;Import;Plastic or Rubber;Import (US$ Thousand);;;;;;39,883;86,144;38,958;250,127;103,219
United States;Cyprus;Import;Plastic or Rubber;Import (US$ Thousand);1,063;132,347;3,655;42,413;235,648;4,157;48,182;75,174;108,273;108,666
United States;Czech Republic;Import;Plastic or Rubber;Import (US$ Thousand);118036,54;160833,658;200018,622;129083,122;181970,525;225217,054;235711,248;246930,32;281792,062;340227,287
United States;Denmark;Import;Plastic or Rubber;Import (US$ Thousand);92451,761;90968,514;94766,675;77911,661;82139,992;95604,737;94815,827;91658,22;118473,874;122825,816
United States;Djibouti;Import;Plastic or Rubber;Import (US$ Thousand);0,83;10,774;0,919;;;;2,606;;;
United States;Dominica;Import;Plastic or Rubber;Import (US$ Thousand);4,235;;;29,554;0,624;1,211;1,034;3,347;33,059;
United States;Dominican Republic;Import;Plastic or Rubber;Import (US$ Thousand);174986,514;213546,15;211096,412;187837,049;182505,713;191319,161;203360,79;200478,109;218805,654;195619,07
United States;Ecuador;Import;Plastic or Rubber;Import (US$ Thousand);3968,167;4686,223;6054,022;5018,256;7763,588;11169,048;14933,637;15869,578;24483,654;19494,276
United States;Egypt, Arab Rep.;Import;Plastic or Rubber;Import (US$ Thousand);4787,944;4021,919;4542,558;5404,751;4692,395;3770,534;3701,655;3825,02;13044,342;23354,877
United States;El Salvador;Import;Plastic or Rubber;Import (US$ Thousand);3230,115;4248,679;7409,327;5049,844;10830,848;16890,478;17263,536;17062,753;19891,058;19023,356
United States;Equatorial Guinea;Import;Plastic or Rubber;Import (US$ Thousand);;;0,579;4,032;0,625;;;;;
United States;Eritrea;Import;Plastic or Rubber;Import (US$ Thousand);3,494;29,278;;;0,608;8,496;0,588;;;1,476
United States;Estonia;Import;Plastic or Rubber;Import (US$ Thousand);1901,859;571,963;1001,208;696,217;1192,787;1833,477;2240,611;2343,805;3043,366;3199,931
United States;Ethiopia(excludes Eritrea);Import;Plastic or Rubber;Import (US$ Thousand);8,752;3,034;12,877;3,266;99,545;15,886;6,01;61,551;119,582;30,81
United States;Faeroe Islands;Import;Plastic or Rubber;Import (US$ Thousand);;;0,97;;2,229;;;0,916;31,249;1,51
United States;Falkland Island;Import;Plastic or Rubber;Import (US$ Thousand);1,04;;;;0,3;0,807;;;;
United States;Fiji;Import;Plastic or Rubber;Import (US$ Thousand);44,021;65,68;20,272;8,26;15,331;33,16;11,939;12,874;10,206;6,172
United States;Finland;Import;Plastic or Rubber;Import (US$ Thousand);77196,005;82151,992;82439,603;60597,161;66246,176;77936,929;106213,065;113463,915;132194,395;83446,779
United States;Fr. So. Ant. Tr;Import;Plastic or Rubber;Import (US$ Thousand);;;;12,011;;;;;;
United States;France;Import;Plastic or Rubber;Import (US$ Thousand);1155241,958;1069393,489;1065777,841;783405,999;919864,897;1142813,703;1290241,813;1354938,233;1417622,579;1335766,457
United States;French Polynesia;Import;Plastic or Rubber;Import (US$ Thousand);;6,258;;;14,149;;11,314;49,998;;0,559
United States;Gabon;Import;Plastic or Rubber;Import (US$ Thousand);1443,796;1447,01;2971,662;1172,337;5741,463;11016,586;406,089;2465,701;2035,481;3445,392
United States;Gambia, The;Import;Plastic or Rubber;Import (US$ Thousand);0,912;;42,15;;;;0,426;5,257;1,175;0,336
United States;Georgia;Import;Plastic or Rubber;Import (US$ Thousand);122,444;280,112;77,237;10,446;84,353;51,57;101,671;85,032;46,986;178,194
United States;Germany;Import;Plastic or Rubber;Import (US$ Thousand);2756237,744;2944339,202;2975882,741;2255204,753;2944873,798;3437059,293;3552289,216;3680363,493;4247602,893;4127886,233
United States;Ghana;Import;Plastic or Rubber;Import (US$ Thousand);319,264;29,015;998,452;439,528;3377,749;19324,189;18288,108;9032,735;3809,692;1204,343
United States;Gibraltar;Import;Plastic or Rubber;Import (US$ Thousand);4,901;;2,07;2,833;1,865;2,73;;;;
United States;Greece;Import;Plastic or Rubber;Import (US$ Thousand);26597,689;26366,892;24645,119;23746,506;22260,901;22001,271;18752,933;20891,543;24654,138;34504,232
United States;Greenland;Import;Plastic or Rubber;Import (US$ Thousand);;1,449;;;;;;;;0,735
United States;Grenada;Import;Plastic or Rubber;Import (US$ Thousand);;5,501;173,489;40,903;;;;;6,081;0,413
United States;Guatemala;Import;Plastic or Rubber;Import (US$ Thousand);24237,991;23017,099;49808,739;36353,246;50838,508;109007,381;84940,391;73231,083;57249,981;44652,632
United States;Guinea;Import;Plastic or Rubber;Import (US$ Thousand);56,967;176,072;756,376;6,33;14,383;4,74;21,179;214,02;18,296;7,337
United States;Guyana;Import;Plastic or Rubber;Import (US$ Thousand);6,665;0,972;3,875;0,606;6,058;3,863;15,004;23,736;64,722;80,328
United States;Haiti;Import;Plastic or Rubber;Import (US$ Thousand);160,667;188,288;116,598;35,573;62,189;174,938;476,207;448,272;1108,887;965,34
United States;Holy See;Import;Plastic or Rubber;Import (US$ Thousand);160,861;1,683;;2,029;49,191;;;;;
United States;Honduras;Import;Plastic or Rubber;Import (US$ Thousand);6458,136;5031,276;8247,294;5753,899;12396,574;20991,462;17915,617;16646,201;19764,813;20265,055
United States;Hong Kong, China;Import;Plastic or Rubber;Import (US$ Thousand);211565,623;176839,73;173701,241;131882,88;138507,067;132625,693;114434,064;116286,758;133931,853;164121,803
United States;Hungary;Import;Plastic or Rubber;Import (US$ Thousand);30376,915;38169,812;42986,473;55035,937;67465,933;86013,419;95613,894;120259,085;139074,976;160651,697
United States;Iceland;Import;Plastic or Rubber;Import (US$ Thousand);22688,769;2331,538;1295,221;5139,029;3845,341;5479,362;2314,465;1983,064;3891,976;2493,01
United States;India;Import;Plastic or Rubber;Import (US$ Thousand);525231,042;422871,222;535751,58;476802,788;585284,423;733357,708;762128,382;728781,368;897110,795;875201,649
United States;Indonesia;Import;Plastic or Rubber;Import (US$ Thousand);1797870,6;1968776,916;2488386,054;1348385,415;2590330,683;3968251,457;2867811,413;2470333,54;2226893,495;2147382,69
United States;Iran, Islamic Rep.;Import;Plastic or Rubber;Import (US$ Thousand);57,533;0,29;;;;;;;;
United States;Iraq;Import;Plastic or Rubber;Import (US$ Thousand);;1,45;;;64,898;;;;10,505;4,729
