Reporter Name;Partner Name;Trade Flow;Product Group;Indicator;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015
United States;Afghanistan;Import;Vegetable;Import (US$ Thousand);1037,267;2040,031;7865,925;7258,089;2429,911;3137,078;5858,345;5061,646;3121,541;2601,714
United States;Albania;Import;Vegetable;Import (US$ Thousand);4227,647;4657,619;6471,649;6783,223;6854,331;8021,651;8379,995;13330,717;15396,477;15796,167
United States;Algeria;Import;Vegetable;Import (US$ Thousand);427,942;838,402;633,064;811,911;260,832;830,013;451,19;466,37;583,426;2494,972
United States;Andorra;Import;Vegetable;Import (US$ Thousand);63,051;208,213;304,189;173,7;90,001;100,073;103,325;37,423;;
United States;Antigua and Barbuda;Import;Vegetable;Import (US$ Thousand);181,104;;;;;26,595;1222,065;178,339;98,677;
United States;Argentina;Import;Vegetable;Import (US$ Thousand);330876,076;412581,67;456318,661;381352,758;388066,22;524374,542;561668,856;748223,404;599186,854;623353,06
United States;Armenia;Import;Vegetable;Import (US$ Thousand);39,685;32,655;28,449;73,095;84,88;19,932;71,338;64,971;163,141;263,22
United States;Aruba;Import;Vegetable;Import (US$ Thousand);;;;;18,357;165,079;19,94;18,775;52,448;82,346
United States;Australia;Import;Vegetable;Import (US$ Thousand);140921,369;164353,709;223161,063;237685,895;259820,629;246247,481;258661,675;402050,587;455853,963;355746,355
United States;Austria;Import;Vegetable;Import (US$ Thousand);1864,564;2520,689;4708,97;2241,931;2328,214;3242,322;8025,734;6800,88;14518,873;16385,147
United States;Azerbaijan;Import;Vegetable;Import (US$ Thousand);1481,663;1933,682;1574,431;2375,749;1541,538;405,006;237,033;454,723;101,9;232,466
United States;Bahamas, The;Import;Vegetable;Import (US$ Thousand);1532,125;1359,785;973,275;710,5;300,5;118;;;;418,217
United States;Bangladesh;Import;Vegetable;Import (US$ Thousand);1199,91;1329,313;1919,683;883,239;2317,066;1391,41;2763,885;2178,279;2598,41;3364,773
United States;Barbados;Import;Vegetable;Import (US$ Thousand);65,949;46,69;77,994;77,647;62,057;84,687;66,231;115,434;92,196;154,862
United States;Belarus;Import;Vegetable;Import (US$ Thousand);66,43;19,548;21,655;16,164;15,948;26,519;93,267;26,277;81,308;32,846
United States;Belgium;Import;Vegetable;Import (US$ Thousand);131979,173;81437,825;88913,522;75495,188;87123,526;109269,857;111430,457;109810,845;116190,231;131167,346
United States;Belize;Import;Vegetable;Import (US$ Thousand);21320,197;19635,093;17649,468;15195,673;16720,98;16772,272;10156,256;11650,713;10023,029;11083,482
United States;Benin;Import;Vegetable;Import (US$ Thousand);21,84;;;209;;109,681;856,848;2655,083;3650,876;3993,167
United States;Bermuda;Import;Vegetable;Import (US$ Thousand);;;;;;;50,164;43,335;68,716;29,204
United States;Bhutan;Import;Vegetable;Import (US$ Thousand);126,031;300,208;204,869;151,991;150,94;78,165;111,469;145,906;36,265;
United States;Bolivia;Import;Vegetable;Import (US$ Thousand);26070,031;34590,768;56293,351;52632,654;65426,329;82529,207;87687,172;158392,973;201378,777;132728,031
United States;Bosnia and Herzegovina;Import;Vegetable;Import (US$ Thousand);1322,192;932,609;1571,581;1265,533;1666,923;1336,214;1973,961;1751,406;1928,723;2198,741
United States;Botswana;Import;Vegetable;Import (US$ Thousand);;;24,435;;;;;;;
United States;Brazil;Import;Vegetable;Import (US$ Thousand);895251,997;1028623,994;1120987,648;1145158,812;1530051,303;2433048,851;1917226,885;1837938,81;2268946,808;1809625,556
United States;British Indian Ocean Ter.;Import;Vegetable;Import (US$ Thousand);;;24,747;;;;;;;
United States;British Virgin Islands;Import;Vegetable;Import (US$ Thousand);;22,256;7,632;;;2,314;;;7,083;
United States;Brunei;Import;Vegetable;Import (US$ Thousand);;;;;;;18,478;19,218;;12,615
United States;Bulgaria;Import;Vegetable;Import (US$ Thousand);4247,476;5000,957;5402,789;5964,731;8875,678;10984,012;11577,543;14179,685;25996,227;35448,554
United States;Burkina Faso;Import;Vegetable;Import (US$ Thousand);64,091;27,991;147,71;157,821;215,5;886,386;1234,981;3129,94;3388,142;305,714
United States;Burundi;Import;Vegetable;Import (US$ Thousand);1899,611;1125,213;2933,746;4176,482;3408,361;9764,79;4727,609;4104,098;4369,855;8627,765
United States;Cambodia;Import;Vegetable;Import (US$ Thousand);111,494;83,141;;;634,43;1846,525;1518,422;1672,444;2416,373;2364,866
United States;Cameroon;Import;Vegetable;Import (US$ Thousand);1827,515;5042,263;933,246;2748,138;6689,351;12123,254;17337,076;2486,783;4295,229;3291,585
United States;Canada;Import;Vegetable;Import (US$ Thousand);3795692,069;4828969,479;7181941,479;5394617,304;5600135,202;7540111,284;7739284,196;8296951,729;8235094,429;7464681,662
United States;Cape Verde;Import;Vegetable;Import (US$ Thousand);;;;;32,782;13,603;3,603;17,846;48,476;159,582
United States;Cayman Islands;Import;Vegetable;Import (US$ Thousand);;;7,098;51,449;;;60,819;71,579;32,289;
United States;Central African Republic;Import;Vegetable;Import (US$ Thousand);252,408;445,072;275,165;243,551;768,834;752,609;1081,67;264,527;183,627;413,835
United States;Chad;Import;Vegetable;Import (US$ Thousand);20961,963;6509,136;10496,35;9523,127;6381,52;7516,613;8731,584;11870,077;10747,81;11173,085
United States;Chile;Import;Vegetable;Import (US$ Thousand);1766689,79;1879511,407;1994755,445;2041058,741;2210156,5;2204956,798;1865901,76;2302641,243;2513515,691;2509192,789
United States;China;Import;Vegetable;Import (US$ Thousand);891227,863;1044236,863;1135412,268;1017484,615;1200559,3;1363012,348;1452531,27;1563371,75;1620148,628;1765778,275
United States;Christmas Island;Import;Vegetable;Import (US$ Thousand);5,107;;;;;;;;;
United States;Cocos (Keeling) Islands;Import;Vegetable;Import (US$ Thousand);;4,809;;61,538;;93,6;;;;14,17
United States;Colombia;Import;Vegetable;Import (US$ Thousand);1460657,44;1573266,169;1793478,138;1693900,845;1864817,347;2338266,802;1827716,454;1899270,192;2278555,057;2303409,576
United States;Comoros;Import;Vegetable;Import (US$ Thousand);1464,565;155,175;872,359;1072,942;1681,965;1820,67;1898,765;2756,583;2002,342;1082,242
United States;Congo, Dem. Rep.;Import;Vegetable;Import (US$ Thousand);359,745;1082,604;1550,898;268,186;1938,08;1356,448;3590,475;1790,111;5085,305;5031,199
United States;Congo, Rep.;Import;Vegetable;Import (US$ Thousand);147,412;54,194;75,855;38;97,225;254,024;390,643;105,609;1376,518;935,058
United States;Cook Islands;Import;Vegetable;Import (US$ Thousand);157,664;71,464;185,343;25,06;35,243;23,619;199,989;;;
United States;Costa Rica;Import;Vegetable;Import (US$ Thousand);1179639,02;1220019,251;1226777,585;1073195,719;1273952,493;1409714,673;1271071,033;1270591,482;1532039,707;1388928,148
United States;Cote d'Ivoire;Import;Vegetable;Import (US$ Thousand);7130,883;11419,336;6995,914;3769,175;16418,135;6421,544;14802,183;19565,177;25832,146;28965,41
United States;Croatia;Import;Vegetable;Import (US$ Thousand);3687,946;2785,237;4528,477;3081,019;3013,402;2760,039;4226,289;3655,899;2485,392;2202,734
United States;Curaçao;Import;Vegetable;Import (US$ Thousand);;;;;;;;;5,02;
United States;Cyprus;Import;Vegetable;Import (US$ Thousand);289,515;376,255;313,077;757,424;149,761;206,459;210,608;285,376;417,486;314,509
United States;Czech Republic;Import;Vegetable;Import (US$ Thousand);3844,009;5468,218;7294,533;5201,411;4216,26;5533,047;6792,127;11090,732;13302,969;7833,514
United States;Denmark;Import;Vegetable;Import (US$ Thousand);31939,944;34083,289;40196,094;60351,245;50241,705;59300,542;51862,515;61635,043;81905,577;82605,108
United States;Djibouti;Import;Vegetable;Import (US$ Thousand);837,806;1043,864;1151,814;244,772;854,824;901,295;1529,793;376,066;1197,155;1758,436
United States;Dominica;Import;Vegetable;Import (US$ Thousand);64,945;41,196;204,159;130,009;34,973;220,319;133,724;173,953;100,371;126,125
United States;Dominican Republic;Import;Vegetable;Import (US$ Thousand);81336,191;89009,841;91629,673;90887,973;87775,545;115755,748;117945,767;114012,12;129963,518;98249,846
United States;East Timor;Import;Vegetable;Import (US$ Thousand);;;;;;;;30,749;121,946;3198,827
United States;Ecuador;Import;Vegetable;Import (US$ Thousand);672661,528;669677,24;673265,877;790637,779;802140,248;867246,397;700694,379;706872,795;837692,097;927264,006
United States;Egypt, Arab Rep.;Import;Vegetable;Import (US$ Thousand);35304,741;33702,493;30760,281;62208,637;34944,26;45344,665;40498,88;44410,555;53523,762;60309,69
United States;El Salvador;Import;Vegetable;Import (US$ Thousand);87179,796;115353,645;146712,973;105328,113;105676,809;242301,39;146702,513;121687,696;79748,126;107502,744
United States;Equatorial Guinea;Import;Vegetable;Import (US$ Thousand);5,938;;;;;244,584;136,019;;;
United States;Eritrea;Import;Vegetable;Import (US$ Thousand);150,628;154,264;;;;19,886;30,16;14,914;14,499;
United States;Estonia;Import;Vegetable;Import (US$ Thousand);371,061;241,671;293,488;;161,551;110,746;;108,303;25,396;247,263
United States;Ethiopia(excludes Eritrea);Import;Vegetable;Import (US$ Thousand);58145,187;76387,118;121554,579;88270,812;106382,349;123907,303;99682,013;106815,208;120126,815;160565,475
United States;Fiji;Import;Vegetable;Import (US$ Thousand);4368,236;5704,741;5303,351;4693,558;4566,821;5307,745;4566,949;4602,129;5308,593;7967,384
United States;Finland;Import;Vegetable;Import (US$ Thousand);6954,662;3704,585;11046,078;6993,363;15624,843;8862,643;10193,466;15355,161;25621,613;17830,39
United States;Fm Sudan;Import;Vegetable;Import (US$ Thousand);6497,383;8057,959;5382,725;10345,877;8725,443;11051,956;;;;
United States;Fr. So. Ant. Tr;Import;Vegetable;Import (US$ Thousand);;;;102,146;;;;;;
United States;France;Import;Vegetable;Import (US$ Thousand);161506,989;185149,876;228219,414;189565,984;200957,088;215684,522;224386,52;229559,168;248401,568;256620,997
United States;French Polynesia;Import;Vegetable;Import (US$ Thousand);822,276;1558,283;1043,005;658,224;1078,259;619,867;548,463;484,775;668,053;903,648
