Reporter Name;Partner Name;Trade Flow;Product Group;Indicator;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015
United States;Afghanistan;Import;Wood;Import (US$ Thousand);404,44;22,437;7,385;62,928;68,149;10,784;85,381;33,076;10,02;96,697
United States;Albania;Import;Wood;Import (US$ Thousand);68,347;20,414;130,739;64,262;130,092;163,912;336,467;418,967;439,129;355,565
United States;Algeria;Import;Wood;Import (US$ Thousand);7,611;408,259;721,019;21,23;67,977;297,561;231,058;139,874;126,612;63,224
United States;Andorra;Import;Wood;Import (US$ Thousand);;;18,224;;28,171;;3,164;2,062;;4,823
United States;Angola;Import;Wood;Import (US$ Thousand);;;11,185;;4,325;6,528;8,374;1261,53;4663,507;4483,457
United States;Anguila;Import;Wood;Import (US$ Thousand);;176,881;5,694;12,075;3,875;;79,817;;3,331;
United States;Antigua and Barbuda;Import;Wood;Import (US$ Thousand);19,624;109,801;52,582;28,303;34,011;8,658;;12,529;3,154;5,277
United States;Argentina;Import;Wood;Import (US$ Thousand);169547,543;115646,345;82169,838;63459,756;63260,42;56946,385;41592,679;35957,982;38315,95;37881,979
United States;Armenia;Import;Wood;Import (US$ Thousand);669,882;102,206;5,08;29,399;8,781;21,282;43,205;66,328;501,06;284,085
United States;Aruba;Import;Wood;Import (US$ Thousand);84,173;;;100,635;4,909;13,473;47,2;23,245;;3,164
United States;Australia;Import;Wood;Import (US$ Thousand);101306,514;68607,876;69920,549;63311,659;114274,889;105749,521;114088,905;129555,893;195389,256;187566,397
United States;Austria;Import;Wood;Import (US$ Thousand);305435,554;213157,843;171576,623;110860,733;131505,604;129174,8;110363,387;132499,544;156073,569;180929,035
United States;Azerbaijan;Import;Wood;Import (US$ Thousand);55,437;;5,28;13,689;5,855;2,719;12,959;20,472;2,785;43,575
United States;Bahamas, The;Import;Wood;Import (US$ Thousand);17,738;79,424;615,378;192,74;80,779;51,79;69,397;34,539;56,463;67,315
United States;Bahrain;Import;Wood;Import (US$ Thousand);4,736;33,343;13,336;;16,178;4,111;;250;14,291;121,569
United States;Bangladesh;Import;Wood;Import (US$ Thousand);815,078;803,757;1119,124;577,016;752,017;1065,137;1267,135;2493,502;2267,374;2179,378
United States;Barbados;Import;Wood;Import (US$ Thousand);942,799;612,799;432,624;562,107;558,547;477,711;394,305;362,651;591,096;578,592
United States;Belarus;Import;Wood;Import (US$ Thousand);3058,741;3359,37;2563,251;2035,044;2711,228;1571,09;2030,728;2400,751;3150,487;6794,378
United States;Belgium;Import;Wood;Import (US$ Thousand);200197,679;140058,432;107520,295;53960,148;70921,542;67909,74;74933,6;81976,192;90148,062;93758,461
United States;Belize;Import;Wood;Import (US$ Thousand);843,532;980,675;1850,499;1491,63;2935,63;3281,121;2189,26;2092,701;2183,62;4464,057
United States;Benin;Import;Wood;Import (US$ Thousand);132,004;468,63;126,696;;9,846;55,017;15,605;17,68;69,716;48,668
United States;Bermuda;Import;Wood;Import (US$ Thousand);23,973;109,195;36,088;50,951;20,445;37,728;14,773;28,19;88,911;37,417
United States;Bhutan;Import;Wood;Import (US$ Thousand);285,544;18,659;49,485;2,502;10,539;;3,086;12,002;;
United States;Bolivia;Import;Wood;Import (US$ Thousand);45225,369;44809,509;33705,789;23844,525;23461,379;21497,247;11546,837;13822,036;17697,809;18501,465
United States;Bosnia and Herzegovina;Import;Wood;Import (US$ Thousand);239,408;116,541;278,831;320,717;314,335;164,615;281,184;806,337;456,144;613,232
United States;Botswana;Import;Wood;Import (US$ Thousand);2,829;12,785;23,768;12,26;7,912;13,958;25,401;5,683;28,882;5,435
United States;Brazil;Import;Wood;Import (US$ Thousand);2629817,193;2282114,691;2104175,132;1414510,209;1930916,532;1905376,475;1803507,431;2160643,162;2302147,263;2333909,983
United States;British Indian Ocean Ter.;Import;Wood;Import (US$ Thousand);;;17,355;40,612;;17,354;3,397;9,678;6,715;118,555
United States;British Virgin Islands;Import;Wood;Import (US$ Thousand);438,297;13,73;15,58;67,292;19,659;;16,479;278,006;100,125;29,852
United States;Brunei;Import;Wood;Import (US$ Thousand);;;;;;;11,879;;6,881;6,064
United States;Bulgaria;Import;Wood;Import (US$ Thousand);1760,466;1446,257;2245,714;1668,145;1061,818;742,954;853,453;1046,645;1617,483;940,614
United States;Burkina Faso;Import;Wood;Import (US$ Thousand);27,949;55,893;60,179;;22,175;28,706;31,847;48,783;7,592;44,364
United States;Burundi;Import;Wood;Import (US$ Thousand);;10,724;;;;;2,008;;9,936;7,465
United States;Cambodia;Import;Wood;Import (US$ Thousand);411,216;374,084;406,102;584,552;495,443;353,976;1540,033;4777,431;8112,355;14033,069
United States;Cameroon;Import;Wood;Import (US$ Thousand);25625,691;40934,132;32184,897;11965,364;15852,084;31015,449;29433,676;33504,344;36548,689;46295,862
United States;Canada;Import;Wood;Import (US$ Thousand);27663953,1;24245139,8;21181461,12;15330779,99;17111143,54;17070558,58;16547048,14;18192778,3;19625372,54;18697128,33
United States;Cape Verde;Import;Wood;Import (US$ Thousand);90,879;28,919;44,354;2,167;43,508;26,377;40,609;5,834;135,446;40,016
United States;Cayman Islands;Import;Wood;Import (US$ Thousand);17,181;30,741;4,64;314,627;11,527;23,454;3,479;20,811;1630,404;35,318
United States;Central African Republic;Import;Wood;Import (US$ Thousand);667,732;431,693;668,377;552,393;1263,012;1893,828;1051,43;559,698;400,64;423,144
United States;Chad;Import;Wood;Import (US$ Thousand);73,401;4,628;;;;;;;;
United States;Chile;Import;Wood;Import (US$ Thousand);1187037,413;913840,751;775315,401;597425,404;608019,514;676910,727;617740,912;763255,814;885303,654;959867,702
